id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,place,is_touch,Cluster
200,8,2025-01-19 15:31:31,3,103,Sunday,557,168,705,238,home,True,2
201,5,2025-01-19 15:31:34,61,233,Sunday,98,455,372,714,home,True,3
202,8,2025-01-19 15:31:39,24,162,Sunday,489,119,612,251,home,False,2
203,8,2025-01-19 15:31:41,5,112,Sunday,493,96,608,272,home,True,2
204,4,2025-01-19 15:31:46,18,132,Sunday,954,0,1065,92,home,True,2
205,8,2025-01-19 15:32:04,6,135,Sunday,476,153,599,258,home,True,2
206,8,2025-01-19 15:32:07,6,129,Sunday,485,166,619,258,home,True,2
207,8,2025-01-19 15:32:17,8,218,Sunday,498,148,623,258,home,True,2
208,5,2025-01-19 15:32:27,39,491,Sunday,256,93,826,561,home,True,3
209,8,2025-01-19 15:32:37,5,52,Sunday,562,151,664,274,home,True,2
210,5,2025-01-19 15:32:53,11,97,Sunday,98,456,372,712,home,True,0
211,5,2025-01-19 15:32:54,10,55,Sunday,245,75,821,545,home,True,0
212,8,2025-01-19 15:33:02,4,100,Sunday,274,335,440,437,home,True,2
213,8,2025-01-19 15:33:07,21,518,Sunday,275,337,436,433,home,True,1
214,8,2025-01-19 15:33:24,3,118,Sunday,294,321,429,444,home,True,2
215,5,2025-01-19 16:34:28,13,111,Sunday,381,191,774,587,home,True,0
216,2,2025-01-19 16:34:28,13,179,Sunday,140,339,310,507,home,True,3
217,5,2025-01-19 16:34:40,43,740,Sunday,513,378,768,586,home,True,3
218,8,2025-01-19 16:34:59,24,379,Sunday,189,183,323,278,home,False,2
219,5,2025-01-19 16:35:12,11,119,Sunday,222,74,769,440,home,True,0
220,5,2025-01-19 16:35:24,13,192,Sunday,232,50,768,428,home,True,0
221,2,2025-01-19 16:35:24,9,81,Sunday,139,339,311,507,home,True,3
222,8,2025-01-19 16:35:33,4,74,Sunday,186,184,295,298,home,True,2
223,13,2025-01-19 16:36:54,18,299,Sunday,394,137,539,260,home,True,2
224,9,2025-01-19 16:36:56,11,193,Sunday,253,133,411,277,home,True,3
225,9,2025-01-19 16:37:10,10,103,Sunday,323,397,384,456,home,True,3
226,5,2025-01-19 16:37:12,9,63,Sunday,425,525,643,719,home,True,0
227,9,2025-01-19 16:37:21,73,2093,Sunday,366,397,520,582,home,True,2
228,9,2025-01-19 16:38:03,1,54,Sunday,359,397,518,593,home,True,3
229,9,2025-01-19 16:38:35,7,219,Sunday,351,404,505,603,home,True,3
230,13,2025-01-19 16:38:40,30,179,Sunday,248,222,404,346,home,False,2
231,2,2025-01-19 16:38:41,21,106,Sunday,136,356,307,519,home,True,3
232,9,2025-01-19 16:38:42,10,66,Sunday,353,211,479,283,home,True,3
233,9,2025-01-19 16:38:44,10,171,Sunday,361,207,481,268,home,True,3
234,9,2025-01-19 16:38:58,29,535,Sunday,356,127,505,276,home,False,0
235,3,2025-01-19 16:39:03,34,84,Sunday,462,88,580,213,home,True,3
236,13,2025-01-19 16:39:20,18,67,Sunday,225,219,381,350,home,False,3
237,9,2025-01-19 16:39:28,68,1825,Sunday,348,129,512,275,home,True,2
238,13,2025-01-19 16:40:17,25,80,Sunday,225,219,380,350,home,True,0
239,12,2025-01-19 16:40:18,18,165,Sunday,457,96,631,247,home,True,1
240,9,2025-01-19 16:40:41,47,604,Sunday,396,539,536,757,home,True,2
241,8,2025-01-19 16:40:46,26,450,Sunday,381,242,505,396,home,True,1
242,9,2025-01-19 16:41:04,24,263,Sunday,145,468,360,700,home,True,2
243,12,2025-01-20 19:54:20,52,456,Monday,177,499,422,669,home,True,0
244,9,2025-01-20 19:54:20,25,97,Monday,192,190,276,261,home,False,1
245,8,2025-01-20 19:54:46,104,1680,Monday,625,350,667,512,home,False,2
246,12,2025-01-20 19:55:25,165,1779,Monday,174,500,421,671,home,False,2
247,9,2025-01-20 19:55:42,19,74,Monday,494,636,576,776,home,True,0
248,3,2025-01-20 19:56:47,79,56,Monday,330,364,409,448,home,False,1
249,9,2025-01-20 19:57:33,37,322,Monday,271,157,308,192,home,False,1
250,3,2025-01-20 19:57:46,23,89,Monday,348,215,482,343,home,False,0
